"","Continent","Database","ChiSq","ChiSqP","MantissaArcTest","MantissaArcTestP","MADConformity","MAD","NumberOfObservations"
"1","Europe","Ecoinvent",78.840260255077,8.36578580671787e-14,5.87519937016763e-07,7.69229154044438e-05,"Close conformity",0.000180537768706581,16123209
"2","Asia","Ecoinvent",48.6540138095393,7.40619433562061e-08,5.85363999295351e-07,0.0517033166490561,"Close conformity",0.000269443077397402,5060498
"3","North America","Ecoinvent",22.9934294521232,0.00337269236315292,8.10155128441974e-07,0.0657125903874139,"Close conformity",0.00024929494085528,3360424
"4","South America","Ecoinvent",9.60112622094668,0.294144506894758,9.79992401053515e-07,0.0652437022783673,"Close conformity",0.000176983055447421,2785354
"5","Africa","Ecoinvent",51.2719492631283,2.32579004191876e-08,7.66865611470425e-06,4.83451676639173e-05,"Close conformity",0.000576135884651157,1295813
"6","Australia/Oceania","Ecoinvent",18.6058895898664,0.0171155409605906,9.82191178625661e-07,0.703862924137411,"Close conformity",0.00074793324715169,357539
