"","Continent","Database","ChiSq","ChiSqP","MantissaArcTest","MantissaArcTestP","MADConformity","MAD","NumberOfObservations"
"1","Europe","Worldsteel",16.4430137329452,0.0364607347341144,0.0357416117145355,1.1380812107713e-252,"Close conformity",0.00270685983491668,16231
"2","Europe","Greendelta",28.0917079561354,0.00045712140389272,0.0326635165141523,0,"Close conformity",0.00112034534393445,200476
"3","Europe","Needs",132.734318048274,7.66641513997021e-25,0.0339662874920898,0,"Close conformity",0.00137534258939938,705572
"4","Europe","Ecoinvent",78.840260255077,8.36578580671787e-14,5.87519937016763e-07,7.69229154044438e-05,"Close conformity",0.000180537768706581,16123209
"5","Asia","Worldsteel",53.8164283874741,7.49316560470424e-09,0.0457954060880199,0,"Close conformity",0.00462282959764536,24348
"6","Asia","Ecoinvent",48.6540138095393,7.40619433562061e-08,5.85363999295351e-07,0.0517033166490561,"Close conformity",0.000269443077397402,5060498
"7","Australia","OzLCI2019",50.9737334761835,2.65481733840487e-08,0.0358431889252394,0,"Close conformity",0.00162672431782701,149346
"8","Australia","Ecoinvent",24.423682066077,0.00194524549608257,6.93803540315946e-06,0.156140370435929,"Close conformity",0.00100433459820685,267655
