"","Continent","Database","ChiSq","ChiSqP","MantissaArcTest","MantissaArcTestP","MADConformity","MAD","NumberOfObservations"
"1","All","Ecoinvent",160.330756167342,1.36388956461478e-30,1.22460517644833e-07,0.00301240433644649,"Close conformity",0.000173475966435088,47403170
"2","All","Worldsteel",44.560267310069,4.45791604562353e-07,0.038658740469988,0,"Close conformity",0.0022589575935565,73044
"3","All","OzLCI2019",63.0336376700751,1.17990778411842e-10,0.0360516354813668,0,"Close conformity",0.00168475447788282,178940
"4","All","Greendelta",29.3749375453494,0.000272461495187046,0.0324727007007622,0,"Close conformity",0.00113337896989707,205344
"5","All","Needs",150.271098153158,1.72140681604881e-28,0.0338938752312878,0,"Close conformity",0.00133654838819349,808382
"6","All","Bioenergiedat",29.6259383779732,0.00024609043867663,0.0534477351364529,4.37668135667818e-20,"Nonconformity",0.0177405622588101,834
