Continent,Conformity,Colname,Label
South America,Marginally acceptable conformity,Lead|natural resource|in ground,17
South America,Nonconformity,Lead II|water|surface water,16
South America,Marginally acceptable conformity,Lead-210|air|urban air close to ground,13
South America,Marginally acceptable conformity,Lead-210|water|ocean,14
South America,Acceptable conformity,Lead-210|water|surface water,15
South America,Acceptable conformity,Mercury|natural resource|in ground,22
South America,Marginally acceptable conformity,Mercury II|air|urban air close to ground,18
South America,Acceptable conformity,Mercury II|soil|unspecified,19
South America,Marginally acceptable conformity,Mercury II|water|ocean,20
South America,Acceptable conformity,Mercury II|water|surface water,21
South America,Acceptable conformity,"VOC, volatile organic compounds|water|ocean",23
Africa,Nonconformity,Arsenic ion|water|ocean,1
Africa,Marginally acceptable conformity,Arsenic ion|water|surface water,2
Africa,Nonconformity,"Cadmium II|air|low population density, long-term",3
Africa,Nonconformity,Cadmium II|water|surface water,4
Africa,Nonconformity,"Chromium III|air|low population density, long-term",6
Africa,Nonconformity,Chromium III|air|unspecified,7
Africa,Nonconformity,"Chromium VI|air|low population density, long-term",8
Africa,Acceptable conformity,Chromium VI|water|ground-,9
Africa,Nonconformity,Chromium-51|air|non-urban air or from high stacks,5
Africa,Nonconformity,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|air|low population density, long-term",10
Africa,Nonconformity,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|air|urban air close to ground",11
Africa,Nonconformity,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|soil|unspecified",12
Africa,Nonconformity,Lead|natural resource|in ground,17
Africa,Nonconformity,Lead II|water|surface water,16
Africa,Nonconformity,Lead-210|air|urban air close to ground,13
Africa,Nonconformity,Lead-210|water|ocean,14
Africa,Nonconformity,Lead-210|water|surface water,15
Africa,Nonconformity,Mercury|natural resource|in ground,22
Africa,Nonconformity,Mercury II|air|urban air close to ground,18
Africa,Nonconformity,Mercury II|soil|unspecified,19
Africa,Nonconformity,Mercury II|water|ocean,20
Africa,Nonconformity,Mercury II|water|surface water,21
Africa,Nonconformity,"VOC, volatile organic compounds|water|ocean",23
