"","Database","Column","ChiSq","ChiSqP","MantissaArcTest","MantissaArcTestP","MADConformity","MAD","NumberOfObservations"
"2210","Ecoinvent","Tebuthiuron|water|ground-",110.373655884373,3.1903243752073e-20,0.00250574712284208,2.73217987874994e-24,"Acceptable conformity",0.00716150347504016,21653
"2211","Ecoinvent","Tebuthiuron|water|unspecified",118.974976809965,5.39656393093015e-22,0.00250769828850541,2.61915354422381e-24,"Acceptable conformity",0.00671303885792044,21653
"2212","Ecoinvent","Technetium-99|water|surface water",19.4482519661237,0.0126377432986547,0.00316267591041317,0.97501599081459,"Nonconformity",0.155326667630226,8
"2213","Ecoinvent","Technetium-99m|water|surface water",238.071267633862,5.79897611581038e-47,0.00104380538460651,1.5285704268121e-10,"Acceptable conformity",0.00987398747358437,21653
"2214","Ecoinvent","Teflubenzuron|air|non-urban air or from high stacks",120.910350019754,2.15042251193422e-22,0.00151761697582041,5.35385047757409e-15,"Close conformity",0.00551204510424337,21653
"2215","Ecoinvent","Teflubenzuron|soil|agricultural",213.241876698797,1.02983361535592e-41,0.000927335832527166,1.88937175410165e-09,"Acceptable conformity",0.00916081969758775,21661
"2216","Ecoinvent","Teflubenzuron|soil|forestry",199.4645519503,8.2852725113637e-39,0.00152453001804432,4.60953928666144e-15,"Acceptable conformity",0.00963365678997864,21653
"2217","Ecoinvent","Teflubenzuron|water|unspecified",187.524658125402,2.70047332080624e-36,0.00145221500438809,2.20643879733543e-14,"Acceptable conformity",0.0081958186455472,21653
"2218","Ecoinvent","Tefluthrin|air|non-urban air or from high stacks",308.92355473598,5.18652166073274e-62,0.00962235588846425,3.26210081478619e-91,"Acceptable conformity",0.0113599190418074,21653
"2219","Ecoinvent","Tefluthrin|soil|agricultural",763.409609815498,1.5781886580705e-159,0.0104726168751824,3.03002258438155e-99,"Nonconformity",0.0168290150179933,21661
"2220","Ecoinvent","Tefluthrin|water|ground-",506.585399029359,2.71799667578554e-104,0.00962235572371672,3.26211245162839e-91,"Marginally acceptable conformity",0.0138210806233318,21653
"2221","Ecoinvent","Tefluthrin|water|surface water",419.509538162175,1.25277085678525e-85,0.0096223626429841,3.26162374910213e-91,"Marginally acceptable conformity",0.0132473047500507,21653
"2222","Ecoinvent","Tellurium|air|unspecified",209.775506026233,5.55047961796269e-41,0.00407670429165938,4.46079483881266e-39,"Acceptable conformity",0.00967354024368022,21661
"2223","Ecoinvent","Tellurium|natural resource|in ground",225.697529953519,2.40623975615111e-44,0.00193192786761509,6.6967827632132e-19,"Acceptable conformity",0.0101500851524222,21661
"2224","Ecoinvent","Tellurium-123m|water|surface water",100.249669243578,3.79585920564414e-18,9.34026552127693e-05,0.13223231852126,"Acceptable conformity",0.00600384174481524,21661
"2225","Ecoinvent","Tellurium-132|water|surface water",151.072571802033,1.17134019629942e-28,0.000249320885068446,0.00451414404006204,"Acceptable conformity",0.00780791153823363,21661
